
CommandType     Name                                               Version    Source
Alias           Remove-ASRPolicy                                   6.7.1      Az.RecoveryServices
Alias           Remove-ASRProtectionContainerMapping               6.7.1      Az.RecoveryServices
Alias           Remove-ASRRecoveryPlan                             6.7.1      Az.RecoveryServices
Alias           Remove-ASRReplicationProtectedItem                 6.7.1      Az.RecoveryServices
Alias           Remove-ASRReplicationProtectedItemDisk             6.7.1      Az.RecoveryServices
Alias           Remove-ASRRP                                       6.7.1      Az.RecoveryServices
Alias           Remove-ASRServicesProvider                         6.7.1      Az.RecoveryServices
Alias           Remove-ASRStorageClassificationMapping             6.7.1      Az.RecoveryServices
Alias           Remove-ASRvCenter                                  6.7.1      Az.RecoveryServices
Alias           Remove-AzAccount                                   2.16.0     Az.Accounts
Alias           Remove-AzADServicePrincipalCredential              6.16.0     Az.Resources
Alias           Remove-AzApplicationGatewayBackendHttpSettings     7.4.0      Az.Network
Alias           Remove-AzAs                                        1.1.4      Az.AnalysisServices
Alias           Remove-AzDatalakeGen2FileSystem                    6.1.2      Az.Storage
Alias           Remove-AzEventHubNamespaceV2                       4.2.0      Az.EventHub
Alias           Remove-AzFederatedIdentityCredentials              1.2.0      Az.ManagedServiceIdentity
Alias           Remove-AzIotHubDCL                                 2.7.5      Az.IotHub
Alias           Remove-AzIotHubEHCG                                2.7.5      Az.IotHub
Alias           Remove-AzIotHubMsgEnrich                           2.7.5      Az.IotHub
Alias           Remove-AzNotificationHubAuthorizationRules         1.1.2      Az.NotificationHubs
Alias           Remove-AzNotificationHubsNamespaceAuthorizationRu… 1.1.2      Az.NotificationHubs
Alias           Remove-AzRedisCacheDiagnostics                     1.9.0      Az.RedisCache
Alias           Remove-AzServiceBusNamespaceV2                     3.0.0      Az.ServiceBus
Alias           Remove-AzSubscriptionDeployment                    6.16.0     Az.Resources
Alias           Remove-AzSynapseSqlAudit                           3.0.5      Az.Synapse
Alias           Remove-AzSynapseSqlPoolAudit                       3.0.5      Az.Synapse
Alias           Repair-AzVmssServiceFabricUD                       7.1.2      Az.Compute
Alias           Resolve-Error                                      2.16.0     Az.Accounts
Alias           Restart-ASRJob                                     6.7.1      Az.RecoveryServices
Alias           Restart-AzAsInstance                               1.1.4      Az.AnalysisServices
Alias           Restart-AzureAsInstance                            1.1.4      Az.AnalysisServices
Alias           Restore-AdlStoreDeletedItem                        1.3.0      Az.DataLakeStore
Alias           Resume-ASRJob                                      6.7.1      Az.RecoveryServices
Alias           Resume-AzAs                                        1.1.4      Az.AnalysisServices
Alias           Save-AzProfile                                     2.16.0     Az.Accounts
Alias           Save-AzSubscriptionDeploymentTemplate              6.16.0     Az.Resources
Alias           Select-AzSubscription                              2.16.0     Az.Accounts
Alias           Send-AzIotHubD2CMessage                            2.7.5      Az.IotHub
Alias           Set-AdlAnalyticsAccount                            1.0.3      Az.DataLakeAnalytics
Alias           Set-AdlAnalyticsDataSource                         1.0.3      Az.DataLakeAnalytics
Alias           Set-AdlAnalyticsFirewallRule                       1.0.3      Az.DataLakeAnalytics
Alias           Set-AdlCatalogCredential                           1.0.3      Az.DataLakeAnalytics
Alias           Set-AdlCatalogItemAclEntry                         1.0.3      Az.DataLakeAnalytics
Alias           Set-AdlCatalogSecret                               1.0.3      Az.DataLakeAnalytics
Alias           Set-AdlStore                                       1.3.0      Az.DataLakeStore
